id_cliente,nome,cpf,email,telefone,cidade,uf,canal_origem,data_cadastro,limite_credito,total_comprado,ativo,obs_sistema
1577,Carla Rodrigues,45390056340,carla.rodrigues@hotmail.com,(51) 93761-0724,Ijui,RS,Site,2023-10-30,13274.37,38027.9,Sim,
1337,Heitor Martins,38298099237,heitor.martins@outlook.com,93268-2425,Passo Fundo,RS,Telefone,2023-07-24,11949.97,29591.27,Nao,
1490,Lucas Martins,18728434306,lucas.martins@outlook.com,,Sta. Maria,RS,Whatsapp,2021-04-10,12129.74,85684.29,Sim,
1511,Karina Barbosa,69186750242,karina.barbosa@outlook.com,(51) 99542-9802,Santa Maria,RS,loja,2022-12-18,2231.99,15365.81,Sim,
1134,Isabel Oliveira,75465840951,isabel.oliveira@outlook.com,92370-3518,Sta. Maria,RS,Indicacao,2025-07-27,1586.62,56136.61,Nao,
1204,Tatiana Barbosa,,tatiana.barbosa@outlook.com,55 941658413 ramal 22,Poa,RS,Site,2022-09-16,9346.22,70095.1,Sim,
90035,Karina Silva,49049312228,karina.silva@hotmail.com,(54) 95408-0490,STO ANGELO,RS,Whatsapp,2025-06-10,7009.51,67087.11,Nao,
1098,Marina Rocha,,marina.rocha@hotmail.com,(55) 93822-3817,Ijui,RS,Whatsapp,2024-10-10,12586.65,39816.58,Sim,
1236,Joao Rodrigues,65581947688,joao.rodrigues@gmail.com,,Sta. Maria,RS,Indicacao,2024-06-28,2012.73,6708.69,Nao,
1074,Tatiana Martins,86229763140,,55943147125,Sta. Maria,RS,loja,2024-01-18,1160.91,88184.23,Nao,
1101,Carla Rocha,81296700089,carla.rocha@hotmail.com,91525-2150,Santo Angelo,RS,loja,2023-05-15,2044.76,13776.8,Nao,
1449,Renata Martins,,renata.martins@outlook.com,(11) 95898-4100,STO ANGELO,RS,loja,2025-07-13,1206.57,29806.17,Nao,
1466,Joao Almeida,08223465302,joao.almeida@outlook.com,11998357927,,RS,loja,2021-04-03,6848.56,2253.86,Sim,
1546,Nelson Silva,95804513750,nelson.silva@hotmail.com,(55) 98138-6368,Passo Fundo,RS,Telefone,2024-04-16,,37242.44,Sim,
1508,Lucas Almeida,36149693236,lucas.almeida@outlook.com,11931885057,Ijui,RS,loja,2025-02-27,5587.33,40687.96,Nao,
1141,Fabio Silva,,fabio.silva@hotmail.com,11906294943,Santo Angelo,RS,loja,2021-08-29,12138.94,14888.62,Sim,
1354,Isabel Silva,49654150443,isabel.silva@gmail.com,51926944676,Santo Angelo,RS,Site,2021-07-04,3537.27,30735.75,Sim,
1599,Tatiana Martins,95311276785,,(11) 90405-0104,porto alegre,RS,loja,2021-11-01,8752.29,52147.44,Nao,
1339,BRUNO OLIVEIRA,24452795289,bruno.oliveira@hotmail.com,(54) 94058-4805,Santa Maria,RS,Whatsapp,2021-09-22,11576.67,85876.94,Sim,
1591,ANA RODRIGUES,03900017992,ana.rodrigues@empresa.com.br,11931941709,porto alegre,RS,Indicacao,2023-09-09,5515.59,85356.6,Nao,
1552,SERGIO OLIVEIRA,42910795812,sergio.oliveira@hotmail.com,,porto alegre,RS,loja,2025-01-18,12630.49,41646.44,Nao,
1115,Karina Ferreira,,karina.ferreira@empresa.com.br,11926220139,Santa Maria,RS,loja,2021-02-25,1127.13,48076.46,Nao,
1132,Renata Pereira,74501424119,,95872-3980,Passo Fundo,RS,Whatsapp,2024-04-13,741.09,6493.98,Nao,
1242,Bruno Santos,85012783628,bruno.santos@gmail.com,54908187518,Sta. Maria,RS,Whatsapp,2021-03-30,8492.68,63844.48,Sim,
1571,JOAO BARBOSA,87566980397,joao.barbosa@gmail.com,(11) 93206-2407,Passo Fundo,RS,Whatsapp,2024-09-15,14104.17,86917.8,Sim,
1576,Marina Rocha,68709747227,marina.rocha@hotmail.com,(11) 97302-1237,Passo Fundo,RS,loja,2021-07-28,8355.13,64696.36,Nao,
1372,RENATA SILVA,82476709383,renata.silva@outlook.com,(54) 95543-1040,Passo Fundo,RS,Site,2025-05-21,7860.62,62407.33,Sim,
1343,Karina Rodrigues,,,(11) 98599-8838,Ijui,RS,loja,2024-06-09,10909.53,35186.39,Sim,
1446,Elisa Costa,45239667052,elisa.costa@hotmail.com,54 990528735 ramal 22,Poa,RS,loja,2024-09-11,6913.14,32526.19,Sim,
1525,Bruno Oliveira,58380313797,bruno.oliveira@gmail.com,(11) 98611-5120,,RS,Site,2023-01-09,2563.97,39590.46,Nao,
1200,Isabel Pereira,70516772915,isabel.pereira@gmail.com,94750-3374,Passo Fundo,RS,Whatsapp,2022-07-03,3199.98,71064.5,Nao,
1440,Carla Ferreira,38061732036,carla.ferreira@gmail.com,(54) 93388-5578,P. Alegre,RS,Whatsapp,2022-09-16,11396.13,13156.98,Sim,
90020,Joao Oliveira,83802298060,joao.oliveira@hotmail.com,(51) 98682-0670,Ijui,RS,Site,2022-07-15,12001.76,41745.18,Nao,
1108,Elisa Souza,62943480686,elisa.souza@empresa.com.br,94529-7085,Santo Angelo,RS,loja,2022-09-07,8047.44,81682.95,Sim,
90027,Elisa Silva,02545077894,elisa.silva@outlook.com,,porto alegre,RS,loja,2021-04-07,7774.21,44759.41,Nao,
1323,Vinicius Oliveira,53191516213,vinicius.oliveira@empresa.com.br,54973696693,Sta. Maria,RS,Site,2025-03-07,9290.83,22721.08,Sim,
1538,Fabio Rocha,42095662759,fabio.rocha@gmail.com,97176-1863,porto alegre,RS,Site,2022-04-14,2492.74,69740.19,Sim,
1541,Marina Oliveira,42161121313,marina.oliveira@hotmail.com,(55) 94196-4323,porto alegre,RS,Site,2025-10-07,10963.86,38392.6,Sim,
1259,Tatiana Ferreira,34075702958,tatiana.ferreira@empresa.com.br,97038-7635,Passo Fundo,RS,Site,2025-01-11,3624.98,20201.42,Nao,
1533,Diego Rodrigues,42694002659,diego.rodrigues@empresa.com.br,51 943769522 ramal 22,Santo Angelo,RS,loja,2025-02-06,13189.92,69365.35,Sim,
1336,Bruno Martins,,bruno.martins@hotmail.com,55921337741,porto alegre,RS,Whatsapp,2021-12-19,13248.84,37502.68,Sim,
1244,Fabio Almeida,69470658989,,,Ijui,RS,Telefone,2022-06-16,,87971.13,Nao,
1053,Isabel Almeida,40532610008,isabel.almeida@empresa.com.br,51996114593,Poa,RS,loja,2023-05-31,2816.06,89254.42,Sim,
1300,Elisa Costa,33713123019,elisa.costa@hotmail.com,90683-4907,Poa,RS,Whatsapp,2021-07-15,14553.06,,Sim,
1249,GABRIELA PEREIRA,15951548536,gabriela.pereira@outlook.com,55902841507,Santo Angelo,RS,Site,2025-10-13,10648.16,14534.83,Nao,
1565,DIEGO MARTINS,15669647251,,,Ijui,RS,loja,2022-02-17,,4606.16,Sim,
1155,Nelson Ferreira,03623035317,nelson.ferreira@empresa.com.br,(51) 93078-3092,STO ANGELO,RS,Whatsapp,2021-09-17,5412.86,67905.22,Nao,
1387,Carla Pereira,79360729360,carla.pereira@hotmail.com,11 956092065 ramal 22,Passo Fundo,RS,Whatsapp,2022-11-09,13409.82,43068.8,Sim,
1501,Lucas Rocha,93388766823,lucas.rocha@hotmail.com,(51) 97491-7465,Ijui,RS,Site,2023-02-01,12378.86,33113.13,Nao,
1168,GABRIELA FERREIRA,80043418799,gabriela.ferreira@hotmail.com,,STO ANGELO,RS,loja,2021-06-16,3650.42,33138.91,Nao,
1470,Lucas Rodrigues,47086636494,lucas.rodrigues@empresa.com.br,(51) 95194-8478,Passo Fundo,RS,Indicacao,2021-08-23,11527.74,14046.52,Nao,
1099,Elisa Silva,43958244583,elisa.silva@hotmail.com,51956243813,Santa Maria,RS,Whatsapp,2021-03-25,,10991.45,Nao,
1140,Olivia Martins,26128485139,olivia.martins@hotmail.com,11926163545,Santo Angelo,RS,Indicacao,2023-06-30,657.14,54437.7,Sim,
1455,Nelson Rodrigues,,,(55) 95552-4878,porto alegre,RS,Telefone,2024-07-14,13525.38,9419.73,Sim,
